,id,rank,symbol,name,supply,maxSupply,marketCapUsd,volumeUsd24Hr,priceUsd,changePercent24Hr,vwap24Hr,explorer
62,iota,63,IOTA,IOTA,2779530283.0000000000000000,4600000000.0000000000000000,424569198.0797337976531149,2283788.9016487875760005,0.1527485419664103,2.3831895777681526,0.1501672383325882,https://thetangle.org/
63,fei-protocol,64,FEI,Fei Protocol,424996177.7889055600000000,,417175957.7407096026122599,1042059.6158517989791744,0.9815993167541374,6.3507846686890511,0.9725783479823334,https://etherscan.io/token/0x956F47F50A910163D8BF957Cf5846D573E7f87CA
64,curve-dao-token,65,CRV,Curve DAO Token,894321522.0000000000000000,3303030299.0000000000000000,407148116.9964372493611408,5429197.9740872857793593,0.4552592182797064,3.2000380243451251,0.4441062523250203,https://etherscan.io/token/0xD533a949740bb3306d119CC777fa900bA034cd52
65,frax-share,66,FXS,Frax Share,74594604.1346960500000000,,405318416.7349580020999568,409900.6689728821255378,5.4336157613099122,-0.2006112026582480,5.3763929399828774,https://etherscan.io/token/0x3432b6a60d23ca0dfca7761b7ab56459d9c964d0
66,mina,67,MINA,Mina,987211150.8400393000000000,,404893648.8649223585412768,6914486.6111894716431714,0.4101388527878657,1.5541096062694858,0.3996856822001098,https://minaexplorer.com/
67,klaytn,68,KLAY,Klaytn,3235245587.5113210000000000,,402618747.9422844697088179,2917601.1682478912922203,0.1244476615612958,-0.2269984286317634,0.1228881468936383,https://scope.klaytn.com/blocks
68,rocket-pool,69,RPL,Rocket Pool,19768220.1920706900000000,,389359397.2099502619214284,974400.0648557024940823,19.6962292723817276,1.9638016411088135,19.9172203015785738,https://etherscan.io/token/0xb4efd85c19999d84251304bda99e90b92300bd93
69,huobi-token,70,HT,Huobi Token,162233844.0000000000000000,500000000.0000000000000000,372853753.5954079272695028,2101495.2265879411857993,2.2982489004908737,0.4196280815172788,2.2936060704889810,https://etherscan.io/token/0x6f259637dcd74c767781e37bc6133cd6a68aa161
70,conflux-network,71,CFX,Conflux,3359950644.7347107000000000,,367971481.8875975516655513,8280614.2663872397663552,0.1095169306918945,0.9033972469121500,0.1072014416008432,http://www.confluxscan.io/
71,dydx,72,DYDX,dYdX,183765523.0000000000000000,1000000000.0000000000000000,366097835.9643180521689243,8388468.4383387490959287,1.9922008763543641,3.0052285167033349,1.9531144494568085,
72,gala,73,GALA,Gala,25024800857.2085950000000000,50000000000.0000000000000000,356504846.8058344642267649,16006959.1329225132999254,0.0142460612909589,4.5199901537134936,0.0138010108704695,https://ethplorer.io/es/address/0x15d4c048f83bd7e37d49ea4c83a07267ec4203da#chart=candlestick
73,gatetoken,74,GT,GateToken,94910222.0720456100000000,,355025980.7993568080065531,763061.0144978869266682,3.7406506174841668,-0.0185002003911014,3.7339787362726229,
74,casper,75,CSPR,Casper,11396967653.0000000000000000,,351626813.3011907055860224,922375.9456584711901010,0.0308526639723008,0.8266084669448540,0.0306082058831941,https://casperstats.io/
75,compound,76,COMP,Compound,7908692.0109858700000000,10000000.0000000000000000,350942795.9225628992177906,31105664.2881293462999284,44.3743156814138717,3.9878612673036664,43.2527556071225689,https://etherscan.io/token/0xc00e94cb662c3520282e6f5717214004a7f26888
76,ftx-token,77,FTT,FTX Token,328895103.8132070000000000,352170015.0000000000000000,345264320.9833128253667720,6945571.1279010549015770,1.0497703279262028,0.0085310082858265,1.0474272610583291,https://etherscan.io/token/0x50d1c9771902476076ecfc8b2a83ad6b9355a4c9
77,nexo,78,NEXO,Nexo,560000011.0000000000000000,1000000000.0000000000000000,328491751.6657850398320621,421371.6464936588693669,0.5865924021665511,0.4891452975943725,0.5592967139517283,https://etherscan.io/token/0xb62132e35a6c13ee1ee0f84dc5d40bad8d815206
78,wootrade,79,WOO,WOO Network,1750834611.5822484000000000,,321415844.6265076361701713,3718466.5223783502783159,0.1835786444363472,2.3826602753895203,0.1790900273650780,https://etherscan.io/token/0x4691937a7508860f876c9c0a2a617e7d9e945d4b
79,zilliqa,80,ZIL,Zilliqa,17372203179.0000000000000000,21000000000.0000000000000000,304842996.6241969258439907,6051669.4704394896875440,0.0175477452965033,1.7111299467136604,0.0172537839922286,https://etherscan.io/token/0x05f4a42e251f2d52b8ed15e9fedaacfcef1fad27
80,dash,81,DASH,Dash,11500435.9462660000000000,18900000.0000000000000000,304521771.0154451175765829,4126538.4051323010492814,26.4791502198939045,-0.1297953126407398,26.0074158197402502,https://explorer.dash.org
81,basic-attention-token,82,BAT,Basic Attention Token,1490115131.9526057000000000,1500000000.0000000000000000,298794381.9895205607978283,15021949.7898476381084875,0.2005176483229109,5.2269250724696078,0.1948021804139791,https://etherscan.io/token/Bat
82,1inch,83,1INCH,1inch Network,1042957552.5048679000000000,,282774921.1062844495827018,6175279.3183432354341892,0.2711279288664671,3.0706168063921336,0.2642626696177397,https://etherscan.io/token/0x111111111117dc0aa78b770fa6a738034120c302
83,arweave,84,AR,Arweave,65454185.0000000000000000,66000000.0000000000000000,279759388.1804079112386360,2828998.1690112657994949,4.2741253012379256,3.9967660817633325,4.1384067161672501,https://viewblock.io/arweave
84,oasis-network,85,ROSE,Oasis Network,6542267493.0000000000000000,10000000000.0000000000000000,279570057.0159297820309968,3098067.7217592626155173,0.0427328991538576,1.4582748961795334,0.0418272830496382,https://www.oasisscan.com/
85,gnosis-gno,86,GNO,Gnosis,2589588.0000000000000000,3000000.0000000000000000,265830182.0067922066234116,4329618.3144051287240032,102.6534653415107757,4.0837831802197219,99.3341606313209753,https://etherscan.io/token/Gnosis
86,pancakeswap,87,CAKE,PancakeSwap,224874227.7627291700000000,750000000.0000000000000000,254272564.0518867483830178,6688386.4974360826101464,1.1307323501747677,-0.0183486531437381,1.1182871152582892,https://bscscan.com/token/0x0e09fabb73bd3ade0a17ecc321fd13a19e81ce82
87,nem,88,XEM,NEM,8999999999.0000000000000000,8999999999.0000000000000000,250785114.5489317872692448,1947314.3171697617314468,0.0278650127307552,0.5569978874043056,0.0272850036090669,http://nembex.nem.ninja/
88,qtum,89,QTUM,Qtum,104755842.0000000000000000,107822406.0000000000000000,250171522.3502461246565376,9873786.6894968410923646,2.3881391011132928,3.4213615192962984,2.3058191147261021,https://qtum.info/
89,aelf,90,ELF,aelf,672988793.2841900000000000,1000000000.0000000000000000,234436080.7027849088038678,1528410.1974448663915354,0.3483506457198718,0.6120030640370955,0.3485960436618292,https://etherscan.io/token/0xbf2179859fc6D5BEE9Bf9158632Dc51678a4100e
90,loopring,91,LRC,Loopring,1331648782.6573877000000000,1374513896.0000000000000000,233270290.9980446399010178,3926839.3970061565882034,0.1751740354033436,2.2866887557493316,0.1719525725583069,https://etherscan.io/token/0xEF68e7C694F40c8202821eDF525dE3782458639f
91,singularitynet,92,AGIX,SingularityNET,1238747261.4300916000000000,2000000000.0000000000000000,226924083.6038917530212563,1319093.9832733928098518,0.1831883634938701,3.0783767178048903,0.1792811936306896,https://etherscan.io/token/0x8eb24319393716668d768dcec29356ae9cffe285
92,celo,93,CELO,Celo,515094127.0000000000000000,1000000000.0000000000000000,225456523.6306761867603524,1078248.5599533271119005,0.4376996587862012,1.0288656000406375,0.4310860689827593,https://explorer.celo.org/blocks
93,convex-finance,94,CVX,Convex Finance,81254150.5941281000000000,100000000.0000000000000000,221628287.3996298733290670,717722.9912538487271089,2.7275934309704793,4.0456268704606280,2.6136021501187220,https://etherscan.io/token/0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b
94,enjin-coin,95,ENJ,Enjin Coin,1000000000.0000000000000000,1000000000.0000000000000000,221607514.9947351000000000,3033473.8690167976411326,0.2216075149947351,3.1053564028989327,0.2157149004868390,https://etherscan.io/token/0xf629cbd94d3791c9250152bd8dfbdf380e2a3b9c
95,mask-network,96,MASK,Mask Network,82112500.0000000000000000,100000000.0000000000000000,220600586.3745082094637500,35642813.5989502692036857,2.6865652169220059,1.9132491293979015,2.6360316085370725,https://etherscan.io/token/0x69af81e73a73b40adf4f3d4223cd9b1ece623074
96,theta-fuel,97,TFUEL,Theta Fuel,6317585831.0000000000000000,,220078789.5493886492459670,546256.5714461151207276,0.0348359002056570,0.9475189107477038,0.0342515951419288,https://explorer.thetatoken.org/
97,just,98,JST,JUST,8902080000.0000000000000000,9900000000.0000000000000000,219407981.3626294915200000,18418635.0666290458105078,0.0246468220194190,0.4698953390122304,0.0242890223082617,https://tronscan.org/#/token20/TCFLL5dx5ZJdKnWuesXxi1VPwjLVmWZZy9
98,ankr,99,ANKR,Ankr,10000000000.0000000000000000,10000000000.0000000000000000,214728725.7365400000000000,5230030.3571429909167898,0.0214728725736540,2.1366223002524508,0.0211141948832564,https://etherscan.io/token/0x8290333ceF9e6D528dD5618Fb97a76f268f3EDD4
99,helium,100,HNT,Helium,143934820.8303076600000000,223000000.0000000000000000,213171912.6535923892777753,137905.0008306896022848,1.4810308681657511,-2.1122152951817624,1.4861231858185831,https://explorer.helium.com/
